,0
601628 CH Equity,33333.0
601633 CH Equity,33333.0
601658 CH Equity,33333.0
601668 CH Equity,33333.0
601669 CH Equity,33333.0
601688 CH Equity,33333.0
601698 CH Equity,33333.0
601728 CH Equity,33333.0
601766 CH Equity,33333.0
601788 CH Equity,33333.0
601799 CH Equity,33333.0
601800 CH Equity,33333.0
601808 CH Equity,33333.0
601816 CH Equity,33333.0
601818 CH Equity,33333.0
601825 CH Equity,0.0
601838 CH Equity,33333.0
601857 CH Equity,33333.0
601865 CH Equity,33333.0
601868 CH Equity,0.0
601877 CH Equity,33333.0
601878 CH Equity,0.0
601881 CH Equity,33333.0
601888 CH Equity,33333.0
601898 CH Equity,33333.0
601899 CH Equity,33333.0
601901 CH Equity,33333.0
601916 CH Equity,33333.0
601919 CH Equity,33333.0
601939 CH Equity,33333.0
601966 CH Equity,0.0
601985 CH Equity,33333.0
601988 CH Equity,33333.0
601989 CH Equity,33333.0
601995 CH Equity,33333.0
601998 CH Equity,33333.0
603019 CH Equity,33333.0
603087 CH Equity,33333.0
603160 CH Equity,0.0
603185 CH Equity,33333.0
603195 CH Equity,33333.0
603259 CH Equity,33333.0
603260 CH Equity,33333.0
603288 CH Equity,33333.0
603290 CH Equity,250000.0
603369 CH Equity,33333.0
603392 CH Equity,300000.0
603486 CH Equity,33333.0
603501 CH Equity,33333.0
603659 CH Equity,33333.0
603799 CH Equity,33333.0
603806 CH Equity,33333.0
603833 CH Equity,33333.0
603882 CH Equity,33333.0
603899 CH Equity,33333.0
603986 CH Equity,33333.0
603993 CH Equity,33333.0
605499 CH Equity,33333.0
688005 CH Equity,33333.0
688008 CH Equity,33333.0
688012 CH Equity,33333.0
688036 CH Equity,33333.0
688065 CH Equity,0.0
688111 CH Equity,33333.0
688126 CH Equity,33333.0
688169 CH Equity,33333.0
688363 CH Equity,33333.0
688396 CH Equity,33333.0
688561 CH Equity,33333.0
688599 CH Equity,33333.0
688981 CH Equity,33333.0
